agent,setting,swm_agent_latent_dim,swm_agent_reward,swm_epochs,swm_hidden,swm_layers,swm_loss,swm_params,wm_epochs,wm_gaussians,wm_hidden,wm_spatial_latent_dim,wm_temporal_latent_dim
ppo,spurious,5.0,39.580143910000004,1.0,10.0,2.0,0.3175422788099809,1850.0,1.0,3.0,10.0,5.0,10.0
ppo,spurious,5.0,53.08620102999999,1.0,10.0,2.0,0.2891077918452446,1850.0,1.0,3.0,10.0,5.0,10.0
ppo,spurious,5.0,49.81796944,1.0,10.0,2.0,0.3300283026598921,1850.0,1.0,3.0,10.0,5.0,10.0
ppo,spurious,5.0,42.35984533999999,1.0,10.0,2.0,0.3308547481671728,1850.0,1.0,3.0,10.0,5.0,10.0
ppo,spurious,5.0,51.926321660000006,1.0,10.0,2.0,0.2809707894421587,1850.0,1.0,3.0,10.0,5.0,10.0
ppo,spurious,5.0,28.252709779999996,1.0,10.0,2.0,0.3177819126206215,1850.0,1.0,3.0,10.0,5.0,10.0
ppo,spurious,5.0,34.25226673,1.0,10.0,2.0,0.3003342277184881,1850.0,1.0,3.0,10.0,5.0,10.0
ppo,spurious,5.0,36.45388196,1.0,10.0,2.0,0.3240477907055556,1850.0,1.0,3.0,10.0,5.0,10.0
ppo,spurious,5.0,45.7492889,1.0,10.0,2.0,0.32194946747837644,1850.0,1.0,3.0,10.0,5.0,10.0
ppo,spurious,5.0,58.480547220000005,1.0,10.0,2.0,0.32450346626416604,1850.0,1.0,3.0,10.0,5.0,10.0
