agent,setting,swm_agent_latent_dim,swm_agent_reward,swm_epochs,swm_hidden,swm_layers,swm_loss,swm_params,wm_epochs,wm_gaussians,wm_hidden,wm_layers,wm_spatial_latent_dim,wm_temporal_latent_dim
ppo,random,5.0,27.83074865,1.0,10.0,1.0,-4.496111108840189,1550.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,random,5.0,38.58921613,1.0,10.0,1.0,-4.0775805887750005,1550.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,random,5.0,30.72804991,1.0,10.0,1.0,-4.804492925199295,1550.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,random,5.0,42.83429649000001,1.0,10.0,1.0,-4.26902494651813,1550.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,random,5.0,37.50820169,1.0,10.0,1.0,-4.456571515359662,1550.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,random,5.0,48.06725045000002,1.0,10.0,1.0,-4.286193119498214,1550.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,random,5.0,39.09355505999999,1.0,10.0,1.0,-4.040764572524061,1550.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,random,5.0,48.482865530000005,1.0,10.0,1.0,-4.8017252028154,1550.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,random,5.0,44.227268809999984,1.0,10.0,1.0,-3.9603077059845733,1550.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,random,5.0,41.80445032000001,1.0,10.0,1.0,-4.105653977931449,1550.0,1.0,3.0,10.0,1.0,5.0,10.0
