agent,setting,swm_agent_latent_dim,swm_agent_reward,swm_epochs,swm_hidden,swm_layers,swm_loss,swm_params,wm_epochs,wm_gaussians,wm_hidden,wm_layers,wm_spatial_latent_dim,wm_temporal_latent_dim
ppo,spurious,10.0,40.89554468000001,1.0,10.0,1.0,-4.181733454253186,2070.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,spurious,10.0,39.03788717,1.0,10.0,1.0,-5.092004541334254,2070.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,spurious,10.0,38.52352107,1.0,10.0,1.0,-4.4791023773408,2070.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,spurious,10.0,34.584707550000005,1.0,10.0,1.0,-4.63114045307853,2070.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,spurious,10.0,43.27746173,1.0,10.0,1.0,-4.067287149091562,2070.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,spurious,10.0,42.02942934,1.0,10.0,1.0,-4.477066737878202,2070.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,spurious,10.0,57.21694898,1.0,10.0,1.0,-4.255469572987069,2070.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,spurious,10.0,31.499923140000007,1.0,10.0,1.0,-4.069568826375812,2070.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,spurious,10.0,43.683028860000015,1.0,10.0,1.0,-4.318689900572854,2070.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,spurious,10.0,47.48368754999999,1.0,10.0,1.0,-4.625325184343214,2070.0,1.0,3.0,10.0,1.0,5.0,10.0
