agent,setting,swm_agent_latent_dim,swm_agent_reward,swm_epochs,swm_hidden,swm_layers,swm_loss,swm_params,wm_epochs,wm_gaussians,wm_hidden,wm_layers,wm_spatial_latent_dim,wm_temporal_latent_dim
ppo,random,10.0,39.86765789,1.0,10.0,1.0,-3.800626103233207,2070.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,random,10.0,47.21849367,1.0,10.0,1.0,-4.481610139829718,2070.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,random,10.0,40.973672740000005,1.0,10.0,1.0,-4.56842334503974,2070.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,random,10.0,48.21791333,1.0,10.0,1.0,-4.273977465821938,2070.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,random,10.0,37.154616309999994,1.0,10.0,1.0,-4.3358691988628015,2070.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,random,10.0,51.332100710000006,1.0,10.0,1.0,-4.0951059163219545,2070.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,random,10.0,35.03326659999999,1.0,10.0,1.0,-4.127343595649859,2070.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,random,10.0,36.07682562,1.0,10.0,1.0,-4.385682381912765,2070.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,random,10.0,47.96199171,1.0,10.0,1.0,-4.420163214810418,2070.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,random,10.0,42.20137174000001,1.0,10.0,1.0,-4.3921665458957655,2070.0,1.0,3.0,10.0,1.0,5.0,10.0
