agent,setting,swm_agent_latent_dim,swm_agent_reward,swm_epochs,swm_hidden,swm_layers,swm_loss,swm_params,wm_epochs,wm_gaussians,wm_hidden,wm_spatial_latent_dim,wm_temporal_latent_dim
ppo,random,5.0,50.514653480000014,1.0,10.0,2.0,0.36011187023827523,1850.0,1.0,3.0,10.0,5.0,10.0
ppo,random,5.0,45.302004170000004,1.0,10.0,2.0,0.3258208757410146,1850.0,1.0,3.0,10.0,5.0,10.0
ppo,random,5.0,48.61083801999999,1.0,10.0,2.0,0.34216967229168826,1850.0,1.0,3.0,10.0,5.0,10.0
ppo,random,5.0,39.919612920000006,1.0,10.0,2.0,0.33350886542146857,1850.0,1.0,3.0,10.0,5.0,10.0
ppo,random,5.0,51.35436522,1.0,10.0,2.0,0.30969544600717946,1850.0,1.0,3.0,10.0,5.0,10.0
ppo,random,5.0,62.590297129999996,1.0,10.0,2.0,0.33861708834436205,1850.0,1.0,3.0,10.0,5.0,10.0
ppo,random,5.0,45.252008780000004,1.0,10.0,2.0,0.3244247487578729,1850.0,1.0,3.0,10.0,5.0,10.0
ppo,random,5.0,50.09288340999999,1.0,10.0,2.0,0.3541043276979466,1850.0,1.0,3.0,10.0,5.0,10.0
ppo,random,5.0,55.906204249999995,1.0,10.0,2.0,0.3193548967091724,1850.0,1.0,3.0,10.0,5.0,10.0
ppo,random,5.0,55.93297289000001,1.0,10.0,2.0,0.2963960984403437,1850.0,1.0,3.0,10.0,5.0,10.0
