agent,setting,swm_agent_latent_dim,swm_agent_reward,swm_epochs,swm_hidden,swm_layers,swm_loss,swm_params,wm_epochs,wm_gaussians,wm_hidden,wm_layers,wm_spatial_latent_dim,wm_temporal_latent_dim
ppo,spurious,10.0,25.04274522999999,1.0,10.0,1.0,0.0029381443442579244,1520.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,spurious,10.0,47.847337280000005,1.0,10.0,1.0,0.005357740984175994,1520.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,spurious,10.0,44.86615083000002,1.0,10.0,1.0,0.003325612337469603,1520.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,spurious,10.0,40.65125762,1.0,10.0,1.0,0.0029416920556733857,1520.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,spurious,10.0,28.294253409999992,1.0,10.0,1.0,0.0032529077937619552,1520.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,spurious,10.0,40.262309349999995,1.0,10.0,1.0,0.0021457785871162108,1520.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,spurious,10.0,56.55869906,1.0,10.0,1.0,0.003167965548832647,1520.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,spurious,10.0,35.62311458,1.0,10.0,1.0,0.0020874073908457324,1520.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,spurious,10.0,40.14570616,1.0,10.0,1.0,0.0031748704016396796,1520.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,spurious,10.0,56.24821480000001,1.0,10.0,1.0,0.0028584453672302343,1520.0,1.0,3.0,10.0,1.0,5.0,10.0
